Actual,Predicted
3.354143562781302101e-01,4.188323616981506348e-01
3.747293177107304807e-01,4.002819955348968506e-01
3.987099923081438568e-01,4.285458326339721680e-01
4.611221460587731080e-01,4.719489216804504395e-01
5.236393291712877485e-01,5.459591150283813477e-01
5.414912315928317454e-01,6.216181516647338867e-01
5.105539063199873162e-01,6.396642923355102539e-01
6.067700691031414628e-01,5.725740194320678711e-01
5.468755309388697583e-01,5.103363394737243652e-01
3.957135663955466676e-01,4.389374554157257080e-01
1.074604827025908982e-01,3.793402910232543945e-01
4.804475486455883626e-02,2.575895488262176514e-01
6.598624115359319475e-02,1.775630712509155273e-01
8.507069402784539491e-02,1.327123492956161499e-01
1.431859112378330856e-01,1.111404448747634888e-01
2.770612784544645990e-02,1.368199437856674194e-01
1.404180786422788429e-01,1.319786012172698975e-01
2.211084304597505934e-01,1.792656183242797852e-01
1.411131258900462093e-01,2.368363440036773682e-01
1.966396782394603804e-01,1.997475475072860718e-01
1.634936472681554065e-01,1.718468964099884033e-01
8.066872812531888925e-02,1.627485603094100952e-01
9.988910135024520187e-02,1.238485127687454224e-01
2.227024054812969389e-01,1.264653205871582031e-01
1.324327580401525317e-01,1.892643719911575317e-01
1.107874421952375066e-01,1.994839012622833252e-01
1.026662012424357506e-01,2.041991353034973145e-01
1.341811880056469342e-01,2.122958302497863770e-01
2.866035048915884786e-01,2.352641522884368896e-01
1.813023023053945693e-01,3.256609439849853516e-01
1.784047275569244917e-01,3.339083194732666016e-01
2.242160639319901172e-01,3.110757768154144287e-01
2.555117246747955484e-01,2.849442064762115479e-01
1.231531050077383505e-01,2.585648298263549805e-01
5.720393304069260054e-02,2.091217488050460815e-01
1.127613763788968271e-01,1.484750956296920776e-01
1.176884890908471704e-01,1.339721381664276123e-01
8.884866195682095125e-02,1.348478347063064575e-01
1.005378121148283732e-01,1.434965431690216064e-01
9.342052829769009747e-02,1.612405627965927124e-01
1.375637512781144878e-01,1.631813943386077881e-01
2.086439164831226378e-01,1.772967576980590820e-01
1.660483320410603980e-01,2.021033614873886108e-01
2.437947726268774318e-01,2.120788395404815674e-01
6.966535791844163938e-02,2.330686748027801514e-01
5.685486486736968104e-02,1.773571670055389404e-01
1.112631634225982324e-01,1.487805098295211792e-01
1.110747283909807592e-01,1.549735516309738159e-01
1.230480756458534053e-01,1.599889397621154785e-01
7.656022661629391379e-02,1.721756607294082642e-01
1.534571650103950802e-01,1.666673719882965088e-01
1.839156799569998668e-01,2.020426094532012939e-01
2.604110354968351970e-01,2.315247207880020142e-01
2.729280641544056252e-01,2.885098457336425781e-01
1.828066934594509974e-01,3.192956447601318359e-01
2.450921941560424422e-01,2.667401432991027832e-01
2.354140473682422297e-01,2.613323330879211426e-01
9.452951479523896694e-02,2.486758828163146973e-01
3.838823176891068556e-01,1.778953671455383301e-01
3.875799690472292447e-01,2.752501964569091797e-01
3.543227305162810481e-01,3.572083115577697754e-01
3.901933466988345423e-01,3.922823965549468994e-01
3.696415718570738029e-01,4.241723120212554932e-01
4.374781832391674286e-01,4.264539182186126709e-01
4.205004958003697446e-01,4.420356750488281250e-01
5.178565360698628162e-01,4.446717500686645508e-01
5.417692504919386920e-01,4.654906094074249268e-01
4.749335071466305180e-01,4.961051344871520996e-01
4.182547209153621992e-01,4.899568855762481689e-01
4.479286047467092580e-01,4.756336212158203125e-01
3.750351384997481219e-01,4.690707027912139893e-01
3.330357501413261367e-01,4.520463347434997559e-01
3.826528563352789014e-01,4.253197610378265381e-01
4.437119847769208647e-01,4.423915147781372070e-01
3.729252839654142448e-01,4.981311857700347900e-01
3.910150470006397150e-01,5.194618701934814453e-01
5.350442822324299463e-01,5.567863583564758301e-01
5.568903895044776675e-01,6.217054128646850586e-01
5.250788492488855930e-01,6.270769834518432617e-01
5.089691985950781650e-01,5.549391508102416992e-01
5.476045582743060969e-01,4.717613458633422852e-01
3.982311819819037702e-01,4.355283975601196289e-01
4.496430546245351323e-01,3.932236135005950928e-01
4.107111414529271975e-01,4.054203033447265625e-01
3.648194885070075166e-01,4.067205190658569336e-01
3.811330196868274456e-01,3.963842988014221191e-01
4.347041724458562406e-01,4.084033071994781494e-01
3.925441509457274769e-01,4.364912509918212891e-01
3.677355978487515387e-01,4.412694871425628662e-01
5.086139522239965238e-01,4.371468722820281982e-01
4.762803542578590843e-01,4.781905412673950195e-01
5.232871718990850241e-01,4.894451797008514404e-01
4.217114225609246425e-01,5.020835399627685547e-01
3.657215053796654125e-01,4.716654419898986816e-01
4.744238058316012641e-01,4.200023412704467773e-01
